Date,Country,Series,Value
1921-04-01,US,Detrended,-0.07
1921-04-01,US,Levels,-1.225671467
1921-07-01,BE,Levels,-10.34798364
1921-07-01,CA,Detrended,-0.15
1921-07-01,CA,Levels,-4.181223816
1921-07-01,GB,Detrended,-0.1
1921-07-01,GB,Levels,-4.658081835
1921-07-01,SE,Detrended,-0.18
1921-07-01,SE,Levels,-14.12989174
1921-07-01,US,Detrended,-0.16
1921-07-01,US,Levels,-3.156929354
1921-10-01,BE,Levels,-8.44174281
1921-10-01,CA,Detrended,-0.16
1921-10-01,CA,Levels,-5.58060826
1921-10-01,GB,Detrended,-0.1
1921-10-01,GB,Levels,-7.001077009
1921-10-01,SE,Detrended,-0.28
1921-10-01,SE,Levels,-15.1521899
1921-10-01,US,Detrended,-0.25
1921-10-01,US,Levels,-4.432056119
1922-01-01,BE,Levels,-6.186873372
1922-01-01,CA,Detrended,-0.38
1922-01-01,CA,Levels,-6.316593516
1922-01-01,CH,Levels,-19.13824714
1922-01-01,GB,Detrended,-0.2
1922-01-01,GB,Levels,-8.642194324
1922-01-01,SE,Detrended,-0.34
1922-01-01,SE,Levels,-15.42261692
1922-01-01,US,Detrended,-0.35
1922-01-01,US,Levels,-5.056230495
1922-04-01,BE,Levels,-3.612962677
1922-04-01,CA,Detrended,-0.46
1922-04-01,CA,Levels,-6.452527664
1922-04-01,CH,Levels,-16.15402164
1922-04-01,GB,Detrended,-0.41
1922-04-01,GB,Levels,-9.540296605
1922-04-01,SE,Detrended,-0.44
1922-04-01,SE,Levels,-14.99641521
1922-04-01,US,Detrended,-0.42
1922-04-01,US,Levels,-5.106998174
1922-07-01,BE,Levels,-0.807570134
1922-07-01,CA,Detrended,-0.36
1922-07-01,CA,Levels,-6.124643802
1922-07-01,CH,Levels,-13.15305229
1922-07-01,GB,Detrended,-0.49
1922-07-01,GB,Levels,-9.774635665
1922-07-01,SE,Detrended,-0.56
1922-07-01,SE,Levels,-13.97962204
1922-07-01,US,Detrended,-0.25
1922-07-01,US,Levels,-4.704502496
1922-10-01,BE,Levels,2.115362241
1922-10-01,CA,Detrended,-0.23
1922-10-01,CA,Levels,-5.487948089
1922-10-01,CH,Levels,-10.16760935
1922-10-01,GB,Detrended,-0.62
1922-10-01,GB,Levels,-9.464864606
1922-10-01,SE,Detrended,-0.43
1922-10-01,SE,Levels,-12.50688192
1922-10-01,US,Detrended,-0.13
1922-10-01,US,Levels,-3.979477346
1923-01-01,BE,Detrended,-0.24
1923-01-01,BE,Levels,5.00997394
1923-01-01,CA,Detrended,-0.08
1923-01-01,CA,Levels,-4.691183038
1923-01-01,CH,Levels,-7.288928116
1923-01-01,GB,Detrended,-0.33
1923-01-01,GB,Levels,-8.773011056
1923-01-01,SE,Detrended,-0.09
1923-01-01,SE,Levels,-10.73286045
1923-01-01,US,Detrended,0.03
1923-01-01,US,Levels,-3.070419235
1923-01-01,ZA,Levels,-2.604262791
1923-04-01,BE,Detrended,-0.09
1923-04-01,BE,Levels,7.678038316
1923-04-01,CA,Detrended,0.09
1923-04-01,CA,Levels,-3.8595782
1923-04-01,CH,Levels,-4.654190024
1923-04-01,GB,Detrended,-0.17
1923-04-01,GB,Levels,-7.828555337
1923-04-01,SE,Detrended,-0.02
1923-04-01,SE,Levels,-8.815867361
1923-04-01,US,Detrended,0.05
1923-04-01,US,Levels,-2.110469384
1923-04-01,ZA,Levels,-2.09119813
1923-07-01,AU,Levels,3.490219666
1923-07-01,BE,Detrended,-0.02
1923-07-01,BE,Levels,9.91416528
1923-07-01,CA,Detrended,0.04
1923-07-01,CA,Levels,-3.078504535
1923-07-01,CH,Levels,-2.415376567
