date,regime,rolling_average,cpi_q_yoy,country
1977-10-01,0,10.991712486341918,4.427503857127801,IN
1978-01-01,0,10.428954495780683,0.8030790522957965,IN
1978-04-01,0,9.544828783482334,-1.7001533893521548,IN
1978-07-01,0,8.64232590275719,-0.8941497637970475,IN
1978-10-01,0,7.687070252547161,0.9102848137298114,IN
1979-01-01,0,6.433087427008488,1.9419061760153289,IN
1979-04-01,1,5.341963249949251,8.374710784325568,IN
1979-07-01,1,4.573887968777237,16.264328114971406,IN
1979-10-01,1,4.287242775949306,19.78057738030703,IN
1980-01-01,1,4.72233991558723,23.738196759424323,IN
1980-04-01,1,5.453411647987937,21.09041052165608,IN
1980-07-01,1,6.521642212604587,20.03635300674762,IN
1980-10-01,1,7.470053911687048,16.249408662807973,IN
1981-01-01,1,8.582579790546594,15.861843764742755,IN
1981-04-01,1,9.581777936285972,15.399166195038916,IN
1981-07-01,1,10.039918509887654,10.01164908013903,IN
1981-10-01,1,10.339673403671382,8.299285554798953,IN
1982-01-01,0,10.045122946394594,4.355232366390216,IN
1982-04-01,0,9.5527874830239,0.5628435881698035,IN
1982-07-01,0,9.306329432591117,0.6141121262831062,IN
1982-10-01,0,9.20917288259403,2.4843728571861234,IN
1983-01-01,0,9.395104541333062,4.52171222707638,IN
1983-04-01,0,9.867005654050322,7.737868864993058,IN
1983-07-01,0,10.26688281959709,7.1033935471382925,IN
1983-10-01,0,10.611019900055597,7.793026422899985,IN
1984-01-01,0,10.894995939649517,7.621426967893741,IN
1984-04-01,0,10.802330892370257,6.521409838740366,IN
1984-07-01,0,10.355363706299705,7.324984393560352,IN
1984-10-01,0,9.686106593061545,6.395435115543857,IN
1985-01-01,0,8.77274193743357,5.470903646864822,IN
1985-04-01,0,8.017937333727104,5.994318447526759,IN
1985-07-01,0,7.201508248628717,3.707771304779861,IN
1985-10-01,0,6.563728341079911,3.493810511831863,IN
1986-01-01,0,6.003391673584932,4.655110414843167,IN
1986-04-01,0,5.461924304890852,4.569818821157301,IN
1986-07-01,0,5.262586551398561,6.024894010293225,IN
1986-10-01,0,5.187202222142796,6.791598969683621,IN
1987-01-01,0,5.261740803337105,5.846003990276416,IN
1987-04-01,0,5.523230825919127,5.792644039810235,IN
1987-07-01,0,5.861577278682589,7.381041181552339,IN
1987-10-01,0,6.182287151084136,8.89857030521708,IN
1988-01-01,0,6.479738965267091,10.470748510735483,IN
1988-04-01,0,6.586687685497404,9.876843269599323,IN
1988-07-01,0,6.626377297204762,7.897185781285443,IN
1988-10-01,0,6.576725919910868,6.799998877022095,IN
1989-01-01,0,6.468310359946122,5.453115768598837,IN
1989-04-01,0,6.4446911322330305,6.049025284478526,IN
1989-07-01,0,6.460390074060759,7.638963230114926,IN
1989-10-01,0,6.524245941550464,7.672552465337956,IN
1990-01-01,0,6.662791566930092,8.241816154457382,IN
1990-04-01,1,6.8180778537349624,9.100044183624178,IN
1990-07-01,1,7.051956935262131,8.385352935323255,IN
1990-10-01,1,7.4005222309405525,10.465116425400245,IN
1991-01-01,1,7.818869928790463,13.022064371841413,IN
1991-04-01,1,8.181968085615301,11.831781957654064,IN
1991-07-01,1,8.639293132811584,15.171394954218865,IN
1991-10-01,1,9.027858306535087,14.56290244415368,IN
1992-01-01,1,9.403154427099036,13.351926401555403,IN
1992-04-01,1,9.78836885319214,13.496932561672303,IN
1992-07-01,1,9.931149911854462,10.236662354798764,IN
1992-10-01,1,9.955580849863987,9.387189065407565,IN
1993-01-01,1,9.80225714129062,7.404274339268158,IN
1993-04-01,1,9.656638189213993,6.964464228066802,IN
1993-07-01,1,9.661798290525592,8.000387807517416,IN
1993-10-01,1,9.753272254570927,8.629478157928784,IN
1994-01-01,1,9.965261083426824,9.692892345716796,IN
1994-04-01,1,10.250040465452821,11.744612924998465,IN
1994-07-01,1,10.380322495736221,10.24460383578296,IN
1994-10-01,1,10.493467522426213,9.935452999137784,IN
1995-01-01,1,10.662420408193684,11.620873869806791,IN
1995-04-01,1,10.735337350183151,10.558383023413498,IN
1995-07-01,1,10.77458808426871,9.170367617034426,IN
